idp;a;espar;ori;veget;datemort;c13;v;w
755144;1;61;1;C;2;105;0.877;39.28
755144;6;62;1;C;2;91;0.613;39.29
755144;23;62;1;5;2;45;0.092;88.41
755165;2;03;0;5;2;24;0.010;88.42
755165;3;03;0;5;2;30;0.029;88.41
755203;6;05;1;5;1;27;0.017;88.41
755302;7;03;1;5;2;50;0.141;88.40
755302;10;03;1;5;1;25;0.013;88.42
755350;13;62;1;5;1;31;0.026;88.41
755448;13;17C;1;5;2;24;0.012;88.42
755551;11;52;1;C;2;43;0.054;88.41
755670;4;14;0;5;2;26;0.017;88.42
755670;6;14;0;5;2;29;0.026;88.41
755670;8;31;0;5;2;24;0.013;91.80
755670;13;14;1;5;2;38;0.062;88.41
755670;14;31;0;5;2;31;0.024;88.41
755670;15;31;0;5;2;29;0.021;88.41
755698;11;03;0;5;1;34;0.045;88.41
755707;10;13G;0;C;1;37;0.061;88.41
755707;14;13G;0;C;2;33;0.044;104.36
755707;17;13G;0;C;2;29;0.029;89.13
755754;13;03;0;5;1;27;0.019;88.41
755754;18;03;1;5;1;25;0.013;88.42
755758;7;61;1;A;;116;1.079;39.28
755758;11;52;1;A;;90;0.360;39.29
755760;3;14;1;5;2;42;0.082;88.41
755760;4;14;0;5;2;28;0.023;88.41
755760;10;22G;1;5;1;45;0.095;88.41
755760;13;14;0;5;2;31;0.033;88.41
755760;16;14;1;5;2;44;0.093;88.41
755760;20;14;1;C;1;82;0.424;39.29
755760;25;14;1;C;1;57;0.180;88.40
755802;19;61;1;5;1;50;0.117;88.40
755874;2;10;0;5;1;40;0.064;88.41
755874;3;10;0;5;1;26;0.017;88.42
755874;8;10;1;5;1;28;0.022;88.41
755874;19;10;0;5;1;28;0.022;88.41
755874;21;10;0;5;1;35;0.045;88.41
755874;29;10;0;5;1;24;0.012;88.42
755874;30;10;0;5;1;44;0.082;88.41
755874;31;10;0;5;1;24;0.012;88.42
755874;32;10;0;5;2;41;0.069;88.41
755874;35;10;0;5;1;51;0.118;88.40
755874;43;10;0;5;1;29;0.025;88.41
755874;50;10;0;5;1;39;0.060;88.41
755874;52;10;0;5;2;31;0.031;88.41
755874;53;10;0;5;2;24;0.012;88.42
